Age,Revenu_Mensuel_Estime,Score_Fidelite,Sensibilite_Promo,Panier_Moyen,Frequence_Achat_Mois,Temps_Session_Sec,Score_Tech_Device,Taux_Abandon_Panier,Note_Satisfaction,Nombre_Pages_Vues,Jours_Depuis_Dernier_Achat
56,5851.75,10,0.02,843.0,1,312.86,1.0,0.52,4,10,281
69,5015.81,86,0.0,816.53,2,362.08,1.0,0.29,4,12,44
46,3605.68,19,0.33,610.54,1,348.39,1.0,0.42,5,11,244
32,4197.3,81,0.71,615.07,3,281.97,1.0,0.45,5,9,59
60,5428.46,13,0.61,935.27,2,487.01,1.0,0.52,5,16,262
25,2302.48,0,0.42,342.63,1,60.04,0.0,0.23,5,2,317
38,4468.02,62,0.54,735.7,4,626.61,0.0,0.39,4,20,132
56,4910.93,86,0.47,712.94,4,348.79,0.0,0.33,4,11,42
36,4641.15,94,0.22,690.71,3,503.6,0.0,0.3,4,16,31
40,6617.34,13,0.63,890.1,1,457.23,1.0,0.6,4,15,262
28,2450.16,70,0.66,388.05,2,181.92,0.0,0.2,4,6,96
28,5064.79,48,0.38,854.48,1,164.46,0.0,0.32,5,5,156
41,5125.67,5,0.0,989.32,1,287.22,1.0,0.45,3,9,296
70,5303.07,47,0.45,677.64,3,310.79,1.0,0.39,3,10,159
53,5144.19,60,0.0,623.11,3,538.69,0.0,0.46,4,17,127
57,6193.58,22,0.26,961.03,1,290.4,0.0,0.44,4,9,243
41,4751.27,39,0.29,650.47,2,575.85,1.0,0.07,2,19,191
20,1863.95,76,0.63,407.0,4,149.89,1.0,0.15,3,4,75
39,4924.59,56,0.24,715.84,1,400.79,0.0,0.31,1,13,148
70,6521.89,21,0.46,941.19,1,500.02,0.0,0.32,5,16,240
19,3346.63,17,0.77,486.12,1,194.02,0.0,0.14,3,6,267
41,5503.78,32,0.48,900.87,1,442.38,1.0,0.56,3,14,207
61,6382.68,74,0.19,939.15,5,387.2,0.0,0.52,4,12,96
47,6185.65,6,0.04,875.08,1,529.73,0.0,0.52,4,17,285
55,6203.1,39,0.11,832.09,2,512.77,0.0,0.5,3,17,183
19,6305.22,92,0.07,1010.23,3,127.01,0.0,0.46,4,4,38
38,5685.98,64,0.35,923.45,4,499.28,1.0,0.35,4,16,122
50,5169.99,38,0.42,698.04,1,315.11,1.0,0.39,1,10,203
29,4961.21,61,0.38,654.74,4,206.77,0.0,0.45,4,6,131
39,4691.69,48,0.6,732.29,3,656.98,1.0,0.37,5,21,161
61,5191.66,88,0.3,840.77,4,350.14,0.0,0.52,4,11,55
42,3639.03,33,0.64,513.7,1,368.87,0.0,0.28,4,12,216
66,5520.71,89,0.06,712.18,3,508.85,1.0,0.38,4,16,37
44,5655.7,58,0.68,825.46,3,443.79,1.0,0.28,5,14,137
59,4558.03,78,0.63,631.17,2,570.6,1.0,0.32,4,19,85
45,5219.19,28,0.19,813.77,1,517.9,1.0,0.34,4,17,220
33,3984.14,24,0.68,453.41,2,340.67,0.0,0.47,4,11,231
32,4332.16,59,0.63,694.15,2,503.0,0.0,0.31,4,16,128
64,5556.08,69,0.0,783.7,1,391.79,0.0,0.5,3,13,109
68,5967.47,26,0.46,916.68,1,466.87,1.0,0.43,1,15,235
61,7760.71,67,0.0,1259.06,4,302.37,1.0,0.55,4,10,114
72,5417.0,67,0.44,663.52,4,476.46,0.0,0.27,3,15,116
69,5781.84,42,0.63,979.99,1,477.46,1.0,0.46,1,15,188
74,5804.53,36,0.35,879.31,1,401.49,1.0,0.45,5,13,205
20,2358.67,49,1.0,342.42,2,141.03,1.0,0.32,4,4,168
54,6079.14,27,0.4,885.46,1,339.97,0.0,0.46,5,11,220
68,4946.33,35,0.36,888.89,1,572.28,1.0,0.48,2,19,201
24,5391.92,84,0.29,773.67,2,193.75,0.0,0.37,4,6,62
38,3795.3,66,0.61,566.08,2,410.3,1.0,0.4,3,13,111
26,4483.1,59,0.43,619.4,1,107.38,0.0,0.25,3,3,138
56,7031.89,16,0.0,1057.64,1,666.38,1.0,0.57,4,22,265
35,4913.44,94,0.31,755.65,3,609.41,1.0,0.22,4,20,35
21,3310.58,61,0.43,536.48,2,103.12,0.0,0.24,2,3,128
42,3844.7,88,0.68,614.3,5,591.42,1.0,0.42,2,19,47
31,2102.6,97,0.59,219.53,5,390.32,0.0,0.03,5,13,21
67,5363.5,46,0.41,609.13,1,468.18,0.0,0.39,2,15,175
26,2676.74,48,0.69,412.9,2,91.26,0.0,0.19,4,3,166
43,4745.38,87,0.35,892.05,4,354.74,1.0,0.54,4,11,40
70,5427.63,97,0.19,784.57,6,392.47,0.0,0.58,4,13,13
19,3912.68,22,0.53,501.43,2,191.36,0.0,0.42,2,6,234
37,3381.58,75,0.59,338.74,3,366.67,0.0,0.33,4,12,83
45,4325.85,87,0.31,513.68,4,324.62,1.0,0.12,3,10,58
64,6132.64,80,0.18,960.27,5,739.1,0.0,0.55,5,24,78
24,4303.2,68,0.4,470.43,3,149.45,0.0,0.39,5,4,105
61,3652.6,73,0.64,635.75,2,441.95,0.0,0.26,1,14,100
25,4822.06,60,0.4,565.89,4,252.07,0.0,0.49,2,8,123
64,4527.77,78,0.48,815.95,5,442.02,1.0,0.35,4,14,76
52,3561.66,77,0.57,682.28,3,466.68,1.0,0.27,3,15,73
31,4029.35,38,0.42,491.0,3,440.39,0.0,0.29,4,14,191
34,6789.26,79,0.05,855.96,2,529.67,0.0,0.21,3,17,64
53,4796.0,22,0.65,783.83,1,353.46,1.0,0.3,4,11,239
67,5788.05,48,0.12,940.76,1,318.17,1.0,0.59,3,10,169
57,5975.67,63,0.59,888.29,3,462.65,1.0,0.35,3,15,113
21,2979.4,22,0.97,490.17,1,209.81,0.0,0.25,2,6,241
19,4076.51,15,0.36,582.18,1,231.35,0.0,0.37,5,7,259
23,3102.19,32,0.73,331.19,1,166.38,1.0,0.28,5,5,208
71,6401.63,50,0.31,1007.7,2,184.45,1.0,0.52,3,6,152
59,5765.27,49,0.43,924.24,1,429.34,0.0,0.38,4,14,154
21,4155.77,79,0.57,562.16,2,143.95,1.0,0.3,5,4,63
71,6014.71,65,0.05,787.99,4,430.75,1.0,0.5,5,14,116
46,6854.96,29,0.44,1020.19,2,320.25,0.0,0.36,4,10,218
35,4637.61,97,0.76,592.91,2,552.17,0.0,0.46,5,18,13
43,5252.15,34,0.24,615.24,1,593.2,1.0,0.24,3,19,202
61,5809.33,58,0.13,883.99,2,306.72,1.0,0.42,3,10,143
51,4038.97,26,0.09,609.67,1,525.61,0.0,0.55,3,17,237
27,3311.31,35,0.68,572.3,1,268.98,1.0,0.35,2,8,205
53,4036.27,29,0.45,634.24,1,458.31,0.0,0.34,3,15,226
31,3457.41,53,0.33,754.14,4,361.42,0.0,0.27,5,12,150
48,4413.41,35,0.48,734.13,1,284.19,0.0,0.42,4,9,206
65,5398.11,60,0.16,830.18,2,526.09,1.0,0.61,3,17,123
32,4066.38,32,0.58,633.78,2,614.99,0.0,0.34,4,20,208
25,4576.28,64,0.29,703.53,4,169.2,1.0,0.26,3,5,123
31,5590.54,96,0.14,736.38,5,334.87,0.0,0.43,4,11,27
40,5743.02,1,0.3,848.9,1,340.09,1.0,0.52,3,11,310
74,6238.3,11,0.15,991.13,1,262.87,0.0,0.64,4,8,283
57,4449.37,78,0.15,854.66,5,476.2,0.0,0.38,3,15,74
